NAZCOBCE	PSC	NAZPOST	KODOKRESU	NAZOKRESU	NAZOBCE
Abertamy	36235	Abertamy	3403	Karlovy Vary	Abertamy
Adamov	54232	Úpice	3610	Trutnov	Trutnov
Adamov	67904	Adamov 1	3701	Blansko	Adamov
Adamov	28601	Čáslav	3205	Kutná Hora	Adamov
Adamov	37371	Rudolfov	3301	České Budějovice	Adamov
Adolfovice	79001	Jeseník 1	3811	Jeseník	Bělá pod Pradědem
Alberovice	25765	Čechtice	3201	Benešov	Loket
Albeř	37833	Nová Bystřice	3303	Jindřichův Hradec	Nová Bystřice
Albrechtice	34201	Sušice 1	3404	Klatovy	Sušice
Albrechtice	38901	Vodňany	3307	Strakonice	Drahonice
Albrechtice	28401	Kutná Hora 1	3205	Kutná Hora	Malešov
Albrechtice	46345	Pěnčín u Liberce	3505	Liberec	Pěnčín
Albrechtice	59257	Rozsochy	3714	Žďár nad Sázavou	Rozsochy
Albrechtice	56301	Lanškroun	3611	Ústí nad Orlicí	Albrechtice
Albrechtice	73543	Albrechtice u Českého Těšína	3803	Karviná	Albrechtice
Albrechtice nad Orlicí	51722	Albrechtice nad Orlicí	3607	Rychnov nad Kněžnou	Albrechtice nad Orlicí
Albrechtice nad Vltavou (část)	39811	Protivín	3305	Písek	Albrechtice nad Vltavou
Albrechtice nad Vltavou (část)	39816	Albrechtice nad Vltavou	3305	Písek	Albrechtice nad Vltavou
Albrechtice u Frýdlantu	46331	Chrastava	3505	Liberec	Frýdlant
Albrechtice u Rýmařova	79351	Břidličná	3801	Bruntál	Břidličná
Albrechtice v Jizerských horách	46843	Albrechtice v Jizerských horách	3504	Jablonec nad Nisou	Albrechtice v Jizerských horách
Albrechtičky	74255	Albrechtičky	3804	Nový Jičín	Albrechtičky
Albrechtovice	38301	Prachatice	3306	Prachatice	Záblatí
Aleje-Zátiší	35002	Cheb 2	3402	Cheb	Františkovy Lázně
Alenina Lhota	39133	Jistebnice	3308	Tábor	Jistebnice
Alexovice	66491	Ivančice	3703	Brno-venkov	Ivančice
Alojzov	79804	Určice	3709	Prostějov	Alojzov
Alšovice	46821	Bratříkov	3504	Jablonec nad Nisou	Pěnčín
Alžbětín	34004	Železná Ruda	3404	Klatovy	Železná Ruda
Amalín	79397	Slezské Rudoltice	3801	Bruntál	Slezské Rudoltice
Amerika	25901	Votice	3201	Benešov	Votice
Anděl Strážce	46342	Hodkovice nad Mohelkou	3504	Jablonec nad Nisou	Frýdštejn
Andělice	33901	Klatovy 1	3404	Klatovy	Dolany
Andělka	46373	Habartice u Frýdlantu	3505	Liberec	Višňová
Andělská Hora	46331	Chrastava	3505	Liberec	Chrastava
Andělská Hora	36471	Bochov	3403	Karlovy Vary	Andělská Hora
Andělská Hora	79331	Světlá Hora	3801	Bruntál	Andělská Hora
Anenská Studánka	56301	Lanškroun	3611	Ústí nad Orlicí	Anenská Studánka
Anenská Ves	35709	Habartov	3409	Sokolov	Krajková
Annín	34201	Sušice 1	3404	Klatovy	Dlouhá Ves
Annín-Tovačov II x)	75101	Tovačov	3808	Přerov	Tovačov
Annovice	37821	Kardašova Řečice	3303	Jindřichův Hradec	Drunče
Antonínov	46844	Josefův Důl u Jablonce nad Nisou	3504	Jablonec nad Nisou	Josefův Důl
Antonínova Výšina	35002	Cheb 2	3402	Cheb	Vojtanov
Antonínův Důl	58601	Jihlava 1	3707	Jihlava	Jihlava
Antonka	39470	Kamenice nad Lipou	3304	Pelhřimov	Kamenice nad Lipou
Antošovice	71100	Ostrava 11	3807	Ostrava-město	Ostrava
Archlebov	69633	Archlebov	3706	Hodonín	Archlebov
Arneštovice	39501	Pacov	3304	Pelhřimov	Arneštovice
Arnoldov	36251	Jáchymov	3403	Karlovy Vary	Ostrov
Arnolec	58827	Jamné u Jihlavy	3707	Jihlava	Arnolec
Arnoltice	79351	Břidličná	3805	Olomouc	Huzová
Arnoltice	46401	Frýdlant v Čechách	3505	Liberec	Bulovka
Arnoltice (část)	40502	Děčín 2	3502	Děčín	Arnoltice
Arnoltice (část)	40714	Arnoltice u Děčína	3502	Děčín	Arnoltice
Arnoltov	35601	Sokolov 1	3409	Sokolov	Březová
Arnoštka	38501	Vimperk	3306	Prachatice	Vimperk
Arnoštov	50782	Pecka	3604	Jičín	Pecka
Arnoštov	38301	Prachatice	3306	Prachatice	Křišťanov
Arnoštovice	25789	Heřmaničky	3201	Benešov	Heřmaničky
Arnultovice	47301	Nový Bor	3501	Česká Lípa	Nový Bor
Arnultovice	54372	Rudník u Vrchlabí	3610	Trutnov	Rudník
Arnultovice	79383	Jindřichov u Krnova	3801	Bruntál	Jindřichov
Arnultovice	40002	Ústí nad Labem 2	3510	Ústí nad Labem	Velké Chvojno
Artolec	37833	Nová Bystřice	3303	Jindřichův Hradec	Nová Bystřice
Aš	35201	Aš 1	3402	Cheb	Aš
Baba	25601	Benešov u Prahy	3201	Benešov	Benešov
Babčice	39155	Chýnov	3308	Tábor	Vodice
Babčice	25601	Benešov u Prahy	3201	Benešov	Struhařov
Babí	54701	Náchod 1	3605	Náchod	Náchod
Babí	54101	Trutnov 1	3610	Trutnov	Trutnov
Babice	75643	Kelč	3810	Vsetín	Kelč
Babice	34012	Švihov	3406	Plzeň-jih	Kbel
Babice	67544	Lesonice	3710	Třebíč	Babice
Babice	39501	Pacov	3304	Pelhřimov	Buřenice
Babice	38411	Netolice	3306	Prachatice	Babice
Babice	78501	Šternberk 1	3805	Olomouc	Babice
Babice	35301	Mariánské Lázně 1	3402	Cheb	Teplá
Babice	25101	Říčany u Prahy	3209	Praha-východ	Babice
Babice	25753	Vrchotovy Janovice	3201	Benešov	Olbramovice
Babice	58001	Havlíčkův Brod 1	3601	Havlíčkův Brod	Okrouhlice
Babice	34525	Hostouň u Horšovského Týna	3401	Domažlice	Hostouň
Babice	68703	Babice u Uherského Hradiště	3711	Uherské Hradiště	Babice
Babice nad Svitavou	66401	Bílovice nad Svitavou	3703	Brno-venkov	Babice nad Svitavou
Babice u Rosic	66484	Zastávka u Brna	3703	Brno-venkov	Babice u Rosic
Babice (část)	25167	Pyšely	3201	Benešov	Řehenice
Babice (část)	25168	Kamenice	3201	Benešov	Řehenice
Babice (část)	50315	Nechanice	3602	Hradec Králové	Babice
Babice (část)	50351	Chlumec nad Cidlinou	3602	Hradec Králové	Babice
Babín	34101	Horažďovice	3404	Klatovy	Horažďovice
Babín	39470	Kamenice nad Lipou	3304	Pelhřimov	Těmice
Babina	33101	Plasy	3407	Plzeň-sever	Plasy
Babiny I	40327	Malečov u Ústí nad Labem	3510	Ústí nad Labem	Malečov
Babiny II	40002	Ústí nad Labem 2	3510	Ústí nad Labem	Homole u Panny
Babolky	67961	Letovice	3701	Blansko	Letovice
Babylon	34401	Domažlice 1	3401	Domažlice	Babylon
Bacov	50601	Jičín 1	3604	Jičín	Mladějov
Bácovice	39301	Pelhřimov	3304	Pelhřimov	Bácovice
Bačalky	50723	Libáň	3604	Jičín	Bačalky
Bačetín	51801	Dobruška	3607	Rychnov nad Kněžnou	Bačetín
Bačice	67555	Hrotovice	3710	Třebíč	Bačice
Bačkov	58291	Světlá nad Sázavou	3601	Havlíčkův Brod	Bačkov
Bačkovice	67532	Třebelovice	3710	Třebíč	Bačkovice
Bačov	68001	Boskovice	3701	Blansko	Boskovice
Bahno	28401	Kutná Hora 1	3205	Kutná Hora	Černíny
Bakov	27371	Zlonice	3203	Kladno	Beřovice
Bakov	54701	Náchod 1	3605	Náchod	Studnice
Bakov nad Jizerou	29401	Bakov nad Jizerou	3207	Mladá Boleslav	Bakov nad Jizerou
Baldovec	79861	Drahany	3709	Prostějov	Rozstání
Baliny	59401	Velké Meziříčí	3714	Žďár nad Sázavou	Baliny
Balková	33165	Žihle	3407	Plzeň-sever	Tis u Blatna
Balkova Lhota	39131	Dražice	3308	Tábor	Balkova Lhota
Balkovy	33901	Klatovy 1	3404	Klatovy	Dolany
Banín	56802	Svitavy 2	3609	Svitavy	Banín
Bánov	68754	Bánov u Uherského Brodu	3711	Uherské Hradiště	Bánov
Báňov	25789	Heřmaničky	3201	Benešov	Ješetice
Báňovice	38001	Dačice	3303	Jindřichův Hradec	Báňovice
Bantice	67161	Prosiměřice	3713	Znojmo	Bantice
Barčov	25786	Miličín	3201	Benešov	Neustupov
Barchov	53002	Pardubice 2	3606	Pardubice	Barchov
Barchov	50401	Nový Bydžov	3602	Hradec Králové	Barchov
Barchovice	28163	Kostelec nad Černými Lesy	3204	Kolín	Barchovice
Barchůvek	50401	Nový Bydžov	3602	Hradec Králové	Měník
Barochov	25167	Pyšely	3201	Benešov	Řehenice
Barovice	58301	Chotěboř	3601	Havlíčkův Brod	Libice nad Doubravou
Bartoňov	78963	Ruda nad Moravou	3809	Šumperk	Ruda nad Moravou
Bartošovice	74254	Bartošovice na Moravě	3804	Nový Jičín	Bartošovice
Bartošovice v Orlických horách (část)	51764	Orlické Záhoří	3607	Rychnov nad Kněžnou	Bartošovice v Orlických horách
Bartošovice v Orlických horách (část)	51761	Rokytnice v Orlických horách	3607	Rychnov nad Kněžnou	Bartošovice v Orlických horách
Bartošovice v Orlických horách (část)	51763	Bartošovice v Orlických horách	3607	Rychnov nad Kněžnou	Bartošovice v Orlických horách
Bartoušov	50601	Jičín 1	3604	Jičín	Jičíněves
Bartoušov	58001	Havlíčkův Brod 1	3601	Havlíčkův Brod	Bartoušov
Bartovice (část)	71600	Ostrava 16	3807	Ostrava-město	Ostrava
Bartovice (část)	71700	Ostrava 17	3807	Ostrava-město	Ostrava
Bartovice (část)	73934	Šenov u Ostravy	3807	Ostrava-město	Ostrava
Bartultovice	79399	Osoblaha	3801	Bruntál	Vysoká
Bařice	76701	Kroměříž 1	3708	Kroměříž	Bařice-Velké Těšany
Baška	73901	Baška	3802	Frýdek-Místek	Baška
Bašnice	50801	Hořice v Podkrkonoší	3604	Jičín	Bašnice
Bašť	25065	Líbeznice	3209	Praha-východ	Bašť
Bašta	28123	Starý Kolín	3204	Kolín	Starý Kolín
Batelov	58851	Batelov	3707	Jihlava	Batelov
Batín	50722	Střevač	3604	Jičín	Střevač
Batňovice (část)	54232	Úpice	3610	Trutnov	Batňovice
Batňovice (část)	54237	Batňovice	3610	Trutnov	Batňovice
Batňovice (část)	54234	Malé Svatoňovice	3610	Trutnov	Batňovice
Batouchovice	67505	Rudíkov	3710	Třebíč	Bochovice
Bavorov	38773	Bavorov	3307	Strakonice	Bavorov
Bavorovice	37341	Hluboká nad Vltavou	3301	České Budějovice	Hluboká nad Vltavou
Bavory	69201	Mikulov na Moravě	3704	Břeclav	Bavory
Bavoryně	26751	Zdice	3202	Beroun	Bavoryně
Bdeněves	33032	Kozolupy	3407	Plzeň-sever	Bdeněves
Bdín	27054	Řevničov	3212	Rakovník	Bdín
Bečice	39175	Malšice	3308	Tábor	Bečice
Bečice	37501	Týn nad Vltavou 1	3301	České Budějovice	Bečice
Bečov	43526	Bečov u Mostu	3508	Most	Bečov
Bečov	43001	Chomutov 1	3503	Chomutov	Blatno
Bečov nad Teplou	36464	Bečov nad Teplou	3403	Karlovy Vary	Bečov nad Teplou
Bečváry	28143	Bečváry	3204	Kolín	Bečváry
Bedihošť	79821	Bedihošť	3709	Prostějov	Bedihošť
Bedlno	27033	Jesenice u Rakovníka	3212	Rakovník	Jesenice
Bednárec	37842	Nová Včelnice	3303	Jindřichův Hradec	Bednárec
Bednáreček	37842	Nová Včelnice	3303	Jindřichův Hradec	Bednáreček
Bedrč	25601	Benešov u Prahy	3201	Benešov	Benešov
Bedřichov	39501	Pacov	3304	Pelhřimov	Pacov
Bedřichov	78801	Oskava	3809	Šumperk	Oskava
Bedřichov	67971	Lysice	3701	Blansko	Bedřichov
Bedřichov	28504	Uhlířské Janovice	3205	Kutná Hora	Nepoměřice
Bedřichov	54351	Špindlerův Mlýn	3610	Trutnov	Špindlerův Mlýn
Bedřichov	46812	Bedřichov u Jablonce nad Nisou	3504	Jablonec nad Nisou	Bedřichov
Bedřichov (část)	37401	Trhové Sviny	3301	České Budějovice	Horní Stropnice
Bedřichov (část)	37335	Horní Stropnice	3301	České Budějovice	Horní Stropnice
Bedřichovice	25703	Jankov	3201	Benešov	Jankov
Bedřichovice	44001	Louny 1	3507	Louny	Hříškov
Bedřichovice	66451	Šlapanice u Brna	3703	Brno-venkov	Šlapanice
Bedřichovka-Liberec XXXIV x)	46001	Liberec 1	3505	Liberec	Liberec
Bedřichův Světec	43401	Most 1	3508	Most	Bělušice
Běhánky (část)	41701	Dubí u Teplic 1	3509	Teplice	Dubí
Běhánky (část)	41702	Dubí u Teplic 2	3509	Teplice	Dubí
Běhařov	34021	Janovice nad Úhlavou	3404	Klatovy	Běhařov
Běhařovice	67139	Běhařovice	3713	Znojmo	Běhařovice
Běchárky	50732	Kopidlno	3604	Jičín	Běchary
Běchary	50732	Kopidlno	3604	Jičín	Běchary
Bechlejovice-Děčín XXVI x)	40502	Děčín 2	3502	Děčín	Děčín
Bechlín	41186	Bechlín	3506	Litoměřice	Bechlín
Bechov	29404	Dolní Bousov	3207	Mladá Boleslav	Dolní Bousov
Běchovice	19011	Praha 911	3100	Hlavní město Praha	Praha
Bechyně	39165	Bechyně	3308	Tábor	Bechyně
Bechyňská Smoleč	39165	Bechyně	3308	Tábor	Sudoměřice u Bechyně
Bělá	53854	Luže	3603	Chrudim	Luže
Bělá	74723	Bolatice	3806	Opava	Bělá
Bělá	39301	Pelhřimov	3304	Pelhřimov	Bělá
Bělá	38451	Volary	3306	Prachatice	Nová Pec
Bělá	38241	Kaplice 1	3302	Český Krumlov	Malonty
Bělá	79001	Jeseník 1	3811	Jeseník	Bělá pod Pradědem
Bělá	51101	Turnov 1	3608	Semily	Mírová pod Kozákovem
Bělá	58401	Ledeč nad Sázavou	3601	Havlíčkův Brod	Bělá
