"PSC";"Kod_obec";"Kod_okres";"Kod_kraj"
36301;555363;3403;51
38473;550515;3306;35
37901;562815;3303;35
58856;587231;3707;108
28601;531367;3205;27
37365;536075;3301;35
41804;567698;3509;60
28901;537128;3208;27
25744;530310;3201;27
58282;569151;3601;108
75701;542903;3810;141
28106;533866;3204;27
75652;544922;3810;141
33141;559954;3408;43
67541;590525;3710;108
53843;573949;3603;94
38716;551104;3307;35
74231;599905;3804;132
38773;598887;3307;35
25265;539775;3210;27
25082;538957;3209;27
68703;592218;3711;141
46352;563943;3505;78
28923;537501;3208;27
26242;550817;3307;35
26751;531472;3202;27
28601;531341;3205;27
56982;578631;3609;94
26272;564273;3211;27
38743;550817;3307;35
39470;509418;3304;108
68501;593532;3712;116
34507;554456;3401;43
59101;595586;3714;108
39470;549002;3304;108
27051;542041;3212;27
25228;539759;3210;27
69616;586137;3706;116
33601;558630;3406;43
53961;572527;3603;94
38101;545546;3302;35
25101;598267;3209;27
78354;552411;3805;124
50351;537021;3208;27
34561;554294;3401;43
25763;529770;3201;27
33822;560251;3408;43
35491;554600;3402;51
76841;588393;3708;141
38601;551155;3307;35
51253;577596;3608;78
26255;541087;3211;27
41002;564711;3506;60
79855;589705;3709;124
78322;552062;3805;124
14300;554782;3100;19
67201;594482;3713;116
69632;586803;3706;116
68741;592757;3711;141
25073;538621;3209;27
26101;540935;3211;27
34401;554057;3401;43
38411;537241;3306;35
51741;576361;3607;86
25225;539180;3210;27
46345;564141;3505;78
54221;579505;3610;86
57201;577898;3609;94
44101;563412;3503;60
39102;552828;3308;35
46345;564435;3505;78
39701;549878;3305;35
79065;553484;3811;124
47002;546232;3501;78
28201;533220;3204;27
26203;539104;3210;27
34533;553735;3401;43
69112;584321;3704;116
56973;578843;3609;94
79374;597325;3801;132
78501;552348;3805;124
34522;566292;3401;43
46344;544582;3505;78
59455;595527;3703;116
26272;564222;3211;27
50327;571024;3602;86
79821;589268;3709;124
38601;550957;3307;35
73997;512176;3802;132
67151;595195;3713;116
68333;593290;3712;116
27021;542008;3212;27
67503;590622;3710;108
44001;546178;3507;60
34401;554383;3401;43
58301;569640;3601;108
27035;565504;3212;27
68601;592587;3711;141
28401;534439;3205;27
69176;584932;3704;116
59255;595284;3714;108
35735;537934;3403;51
33842;559822;3408;43
46353;564397;3505;78
25075;538566;3209;27
78401;569054;3805;124
56921;578444;3609;94
26272;564214;3211;27
51761;576093;3607;86
68712;592382;3711;141
36471;555762;3403;51
56802;578754;3609;94
28163;513164;3204;27
58001;568929;3601;108
32600;554791;3405;43
79342;597783;3801;132
78901;535885;3809;124
28504;534609;3205;27
26231;564320;3211;27
79316;597988;3801;132
53825;571652;3603;94
25801;530751;3201;27
38601;551414;3307;35
74755;507920;3806;132
33901;541745;3404;43
68752;592285;3711;141
26213;540811;3211;27
27704;534731;3206;27
39002;563544;3308;35
56164;580686;3611;94
39701;549711;3305;35
56301;580635;3611;94
37802;562629;3303;35
34034;578312;3404;43
56943;572292;3609;94
15000;554782;3100;19
67181;593711;3713;116
58001;548286;3601;108
58222;569291;3601;108
69106;585017;3704;116
78501;552305;3805;124
74792;506753;3806;132
50801;573272;3604;86
28601;534668;3205;27
53501;575500;3606;94
36221;578029;3403;51
28601;530956;3205;27
38601;551856;3307;35
26272;564249;3211;27
59212;596922;3714;108
43111;563463;3503;60
75111;552950;3808;124
27034;598496;3212;27
69111;584363;3704;116
68723;592455;3711;141
47125;562203;3501;78
53313;575607;3606;94
50732;573663;3604;86
66471;583154;3703;116
37341;545368;3301;35
78815;553387;3809;124
59101;596035;3714;108
27101;542164;3212;27
50303;569917;3602;86
