POCET	KOD	UDALOST
================================================================================
2190076	63	Přihláška pohledávky
1583960	625	Zasílání údajů o změně osoby věřitele v přihlášce
873867	1	Změna osoby
790307	2	Změna adresy osoby
724441	185	Vyhláška o zahájení insolvenčního řízení
657858	78	Usnesení o úpadku spojené s povolením oddlužení
600326	175	Usnesení o schválení oddlužení plněním splátkového kalendáře
550992	247	Usnesení o změně v osobě věřitele
515130	39	Sdělení správce o plnění oddlužení
456655	332	Zpráva IS o stavu řízení
357335	563	Doplnění/oprava/změna přihlášené pohledávky
320859	66	Usnesení
308719	23	Návrh - přílohy
294800	606	Sdělení insolvenčního správce
278606	357	Přípis
268801	189	Výzva
244431	28	Sdělení
231222	6	Insolvenční návrh spojený s návrhem na povolení oddlužení
225173	52	Zpráva dlužníka o svých příjmech dle § 412 odst. 1 písm. d)
223709	64	Seznam přihlášených pohledávek
200028	124	Usnesení o odmítnutí přihlášky
196069	468	Usnesení o uložení povinnosti
195454	195	Výzva na správce
186744	177	Usnesení o vzetí na vědomí splnění oddlužení
183756	372	Změna stavu věci
178729	105	Usnesení o ustanovení správce
176205	584	Usnesení o vzetí na vědomí částečného zpětvzetí přihlášky
172346	228	Opatření o určení osoby správce
172199	110	Usnesení o zproštění funkce správce po skončení řízení
168068	222	Nařízení jednání
164591	605	Usnesení o změně splátkového kalendáře
161312	29	Sdělení dlužníka
155436	239	Jiné
145697	223	Úřední záznam
145026	190	Usnesení o uložení povinnosti zaplatit zálohu
142168	126	Usnesení o vzetí na vědomí zpětvzetí přihlášky
140645	568	Protokol z přezkumného jednání
137663	72	Usnesení o odmítnutí insolvenčního návrhu
136956	334	Soupis majetkové podstaty
135841	450	Seznam/upravený seznam přihlášených pohledávek
130588	593	Usnesení o část. odmítnutí přihlášky
129833	343	Návrh na změnu v osobě věřitele
124105	473	Usnesení o zastavení řízení
118250	501	Žádost o určení osoby správce
117533	537	Usnesení o uspokojení zajištěného věřitele
115089	30	Sdělení věřitele
112228	22	Návrh - doplnění návrhu
110602	199	Výzva k opravě nebo doplnění návrhu na povolení oddlužení
109036	354	Pověření asistenta soudce
108033	445	Referát
107039	202	Výzva k opravě nebo doplnění návrhu
106984	165	Usnesení o odměně správce
102000	466	Usnesení o schválení konečné zprávy
92707	178	Usnesení o osvobození dlužníka od placení dosud neuspokojených pohledávek
91073	367	Žádost
90846	95	Usnesení o zrušení konkursu
89153	535	Usnesení o prodeji mimo dražbu
82213	439	Přezkumné jednání
81831	355	Pověření vyššího soudního úředníka
80686	562	Částečné zpětvzetí přihlášené pohledávky
75894	494	Zaslání přihlášky/přihlášek správci
75694	356	Prezenční listina
75047	532	Opravné usnesení
74016	582	Žádost insolvenčního správce
70348	76	Usnesení o úpadku spojené s prohlášením konkursu
69479	215	Protokol o jednání
68052	204	Pokyn insolvenčního soudu
64696	492	Zápis v rejstříku ukončen
63643	596	Usnesení o část.změně v osobě věřitele
62438	214	Protokol ze schůze věřitelů
61033	184	Vyhláška
59816	427	Oznámení
58459	581	Zpětvzetí přihlášené pohledávky
57103	55	Plná moc
56475	392	Předložení věci vrchnímu soudu
55124	998	Vyrozumění o popření přihlášené pohledávky
55025	373	Rozhodnutí o odvolání - potvrzeno
51579	210	Vyrozumění
50639	49	Zpráva o hospodářské situaci dlužníka
50619	351	Platební poukaz
50162	451	Schůze věřitelů
49273	116	Usnesení o jmenování prozatímního věřitelského výboru
48652	565	Odročení jednání
48101	182	Dotaz
47599	218	Rozvrhové usnesení
47590	574	Usnesení o vydání/vyplacení zálohy na náklady řízení správce
45912	554	Opětovné doručení vyhláškou
45673	929	Pověření asistenta soudce/VSÚ
39768	447	Sdělení o odstoupení z funkce ve v.v.
39572	188	Vyhláška o konečné zprávě
38984	82	Usnesení o zamítnutí insolvenčního návrhu
38777	194	Výzva dlužníkovi k vyjádření se k insolvenčnímu návrhu
37922	187	Vyhláška o svolání přezkumného jednání
37652	226	Konečná zpráva
37195	41	Vyjádření
36877	621	Usnesení o spojení věci k společnému projednávání
35393	365	Výzva k zaplacení SOP
34825	496	Záznam o zaplacení zálohy na insolvenční řízení
34662	75	Usnesení o úpadku
34006	561	Konečný/Závěrečný referát
31680	48	Zpráva
31435	94	Usnesení o prohlášení konkursu
31307	5	Insolvenční návrh
31091	200	Výzva na zprávu správce o plnění oddlužení
29249	56	Výpis
28991	382	Převzetí věci Vrchním soudem
28943	346	Návrh na vydání výtěžku zpeněžení zajištěnému věřiteli
27735	481	Vrácení příloh
27582	386	Protokol o hlasování
27513	380	Zaslání rozhodnutí odvolacího soudu
27128	410	Insolvenční návrh spojený s návrhem na prohlášení konkursu
26877	19	Návrh na osvobození od placení dosud neuspokojených pohledávek
26609	230	Odvolání
25519	534	Výpis ze seznamu přihlášených pohledávek
25405	42	Vyjádření dlužníka
24577	493	Zaslání doplnění přihlášky správci
24350	181	Usnesení o zrušení schváleného oddlužení
24312	186	Vyhláška o svolání schůze věřitelů
24140	643	Nový nápad
23104	134	Usnesení o vynětí majetku z majetkové podstaty
23077	329	Záznam o mylném zařazení
22857	464	Usnesení o postoupení věci
21922	374	Rozhodnutí o odvolání - změněno
21634	40	Sdělení dlužníka o plnění oddlužení
21409	480	Vrácená obálka
20648	369	Právní moc
20620	974	Oznámení pro vyvěšení na ÚD+EÚD
20187	544	Výzva k podávání přihlášek pohledávek
19976	484	Vyhláška o svolání zvláštního přezkumného jednání
18861	183	Rozsudek
