	174	175	177	178
"2008 3"	0	24	0	0
"2008 4"	3	48	0	0
"2008 5"	0	47	0	0
"2008 6"	0	44	0	0
"2008 7"	2	60	0	0
"2008 8"	1	41	1	0
"2008 9"	5	63	1	1
200810	1	51	0	1
200811	1	54	0	0
200812	6	177	0	1
"2009 1"	1	96	4	1
"2009 2"	1	101	3	1
"2009 3"	6	100	2	0
"2009 4"	5	147	0	0
"2009 5"	3	154	2	2
"2009 6"	3	181	2	4
"2009 7"	2	247	3	4
"2009 8"	5	290	4	3
"2009 9"	10	303	2	2
200910	4	328	3	3
200911	4	333	3	4
200912	5	367	4	2
"2010 1"	9	474	8	3
"2010 2"	3	438	4	2
"2010 3"	10	546	4	3
"2010 4"	8	550	4	3
"2010 5"	12	662	7	3
"2010 6"	14	699	13	6
"2010 7"	15	586	9	6
"2010 8"	16	711	7	8
"2010 9"	13	798	13	6
201010	19	820	10	7
201011	11	855	10	9
201012	14	894	11	10
"2011 1"	13	1069	14	10
"2011 2"	15	972	17	9
"2011 3"	33	2072	33	22
"2011 4"	53	2707	41	20
"2011 5"	27	1391	23	15
"2011 6"	29	1695	28	15
"2011 7"	23	1331	18	12
"2011 8"	29	1563	19	11
"2011 9"	30	1570	25	15
201110	29	1803	35	20
201111	50	1794	36	19
201112	50	1730	35	20
"2012 1"	51	1946	41	27
"2012 2"	48	1617	46	24
"2012 3"	77	2692	59	33
"2012 4"	62	2251	58	41
"2012 5"	58	2306	55	35
"2012 6"	69	2388	55	43
"2012 7"	61	2317	54	31
"2012 8"	59	2426	54	35
"2012 9"	91	2314	55	32
201210	80	2689	69	42
201211	73	2698	76	56
201212	72	2382	66	33
"2013 1"	102	3199	90	54
"2013 2"	97	2970	89	58
"2013 3"	103	4014	119	85
"2013 4"	75	3006	113	86
"2013 5"	85	3016	121	73
"2013 6"	76	2546	91	54
"2013 7"	68	2851	121	81
"2013 8"	86	3197	148	134
"2013 9"	114	3344	186	129
201310	110	3293	211	141
201311	104	3484	210	163
201312	97	2763	212	140
"2014 1"	120	3926	304	245
"2014 2"	114	3993	312	239
"2014 3"	133	4739	430	300
"2014 4"	135	4695	403	284
"2014 5"	147	3961	343	247
"2014 6"	40	1212	93	46
"2014 7"	36	1194	98	41
"2014 8"	118	3664	362	274
"2014 9"	152	4146	506	373
201410	198	5471	574	413
201411	146	4999	543	380
201412	121	3815	512	388
"2015 1"	132	4488	615	515
"2015 2"	139	4372	664	510
"2015 3"	135	4254	775	579
"2015 4"	113	4280	819	639
"2015 5"	108	4097	816	597
"2015 6"	121	4198	977	767
"2015 7"	112	3760	975	781
"2015 8"	98	3520	918	765
"2015 9"	97	4004	1078	894
201510	124	4274	1199	947
201511	99	3992	1158	902
201512	84	3961	1248	1022
"2016 1"	86	3825	1347	1090
"2016 2"	93	3994	1459	1158
"2016 3"	99	3764	1518	1228
"2016 4"	95	3748	1559	1302
"2016 5"	102	3845	1629	1431
"2016 6"	112	3874	1641	1352
"2016 7"	71	3020	1517	1191
"2016 8"	84	3433	1735	1444
"2016 9"	64	3535	1855	1607
201610	76	3908	2001	1623
201611	85	4043	2224	1823
201612	69	3429	2100	1736
"2017 1"	88	3841	2415	2041
"2017 2"	76	3487	2500	2026
"2017 3"	79	3840	2707	2345
"2017 4"	68	3225	2346	2023
"2017 5"	91	3631	2576	2205
"2017 6"	87	3746	2705	2271
"2017 7"	64	2858	2572	2275
"2017 8"	80	3324	2724	2429
"2017 9"	67	2949	2751	2332
201710	51	2518	2968	2710
201711	57	2660	3276	2952
201712	43	2184	2737	2264
"2018 1"	58	2883	3317	2994
"2018 2"	50	2786	3176	2771
"2018 3"	69	3099	3571	3152
"2018 4"	76	3001	3565	3046
"2018 5"	53	2844	3302	2868
