MESIC	KSSTCAB	KSSCEUL	KSZPCPM	KSJIMBM	MSPHAAB	KSSEMOS	KSJICCB	KSVYCHK
2008-8	0	0	0	0	0	0	1	0
2008-9	0	0	0	0	0	1	0	0
2008-10	0	0	0	0	0	0	1	0
2008-12	0	0	0	0	0	0	1	0
2009-1	0	1	0	1	0	0	2	0
2009-2	0	1	0	1	0	0	1	0
2009-3	0	0	1	0	0	0	1	0
2009-5	1	0	0	1	0	0	1	0
2009-6	1	0	1	1	0	0	2	0
2009-7	0	0	1	2	0	1	2	0
2009-8	0	0	0	2	0	2	1	0
2009-9	1	0	0	1	0	1	0	0
2009-10	0	0	0	0	1	2	0	0
2009-11	2	1	1	0	1	0	0	0
2009-12	1	2	0	0	0	1	0	1
2010-1	0	2	2	0	0	2	0	2
2010-2	0	2	0	0	0	2	0	0
2010-3	0	1	1	0	0	3	0	0
2010-4	1	1	1	0	0	3	0	1
2010-5	0	1	1	1	1	3	0	1
2010-6	0	7	0	2	1	2	0	1
2010-7	0	5	1	2	0	1	0	2
2010-8	0	4	2	0	1	4	0	0
2010-9	1	3	2	1	3	4	0	1
2010-10	2	1	2	2	2	1	0	0
2010-11	1	2	1	1	1	4	0	2
2010-12	1	3	2	1	0	6	0	1
2011-1	2	1	2	1	2	7	1	3
2011-2	1	2	2	2	3	6	2	1
2011-3	5	7	4	5	1	15	1	0
2011-4	2	6	5	5	3	18	3	2
2011-5	2	8	0	1	1	15	0	1
2011-6	1	5	3	1	3	12	2	2
2011-7	3	4	0	1	2	4	2	1
2011-8	2	4	1	1	2	5	0	4
2011-9	3	5	0	1	1	9	2	5
2011-10	2	6	1	1	3	15	4	4
2011-11	1	5	3	3	5	13	2	5
2011-12	3	4	2	5	4	14	2	2
2012-1	6	3	3	5	4	14	1	4
2012-2	5	9	1	5	3	14	1	2
2012-3	4	14	3	7	5	22	0	3
2012-4	4	13	6	8	6	24	2	2
2012-5	5	17	6	8	5	18	1	4
2012-6	8	15	3	7	5	25	0	5
2012-7	5	8	3	7	4	27	0	3
2012-8	5	10	3	7	5	25	1	2
2012-9	4	15	1	10	7	17	1	7
2012-10	6	15	4	14	6	20	0	10
2012-11	12	14	10	8	3	33	1	6
2012-12	4	4	13	5	3	27	1	12
2013-1	15	16	6	7	14	28	3	13
2013-2	18	14	7	7	5	28	4	14
2013-3	16	17	11	23	7	36	2	18
2013-4	12	28	10	13	6	41	3	13
2013-5	14	29	11	9	5	45	2	14
2013-6	16	20	12	12	7	24	3	10
2013-7	16	37	14	11	5	31	3	11
2013-8	28	40	21	23	5	44	4	14
2013-9	25	33	26	28	9	47	8	18
2013-10	28	25	14	24	10	65	13	33
2013-11	23	36	17	25	10	66	11	34
2013-12	24	28	26	22	16	66	10	37
2014-1	36	30	41	33	23	118	6	42
2014-2	33	48	46	20	22	118	6	52
2014-3	32	95	60	37	26	136	14	40
2014-4	37	94	57	43	24	116	11	37
2014-5	28	69	55	33	18	116	12	34
2014-6	8	10	26	5	5	40	2	7
2014-7	13	14	6	5	5	43	1	10
2014-8	41	52	41	41	24	128	17	37
2014-9	64	71	71	70	15	141	24	59
2014-10	54	72	76	67	12	175	68	55
2014-11	43	81	73	60	15	164	36	56
2014-12	40	87	55	53	21	178	19	64
2015-1	53	107	76	67	39	183	23	61
2015-2	56	92	83	68	36	203	28	87
2015-3	66	152	75	87	46	216	34	64
2015-4	71	145	71	111	43	268	45	61
2015-5	90	125	75	94	39	267	34	76
2015-6	125	144	83	105	53	287	45	111
2015-7	120	148	85	101	55	273	38	135
2015-8	89	156	93	90	51	244	57	136
2015-9	106	172	108	93	53	306	64	137
2015-10	97	183	100	122	57	335	67	152
2015-11	106	178	113	151	59	346	38	120
2015-12	99	193	143	145	63	333	88	173
2016-1	136	219	196	168	59	325	61	152
2016-2	146	228	215	170	67	317	91	169
2016-3	146	216	198	179	67	398	86	153
2016-4	169	269	214	197	49	360	73	167
2016-5	150	276	228	225	64	386	84	183
2016-6	178	268	233	233	82	361	98	166
2016-7	159	253	198	228	86	334	75	171
2016-8	178	320	280	243	93	363	81	176
2016-9	222	320	296	239	78	463	89	180
2016-10	197	333	327	256	86	532	80	195
2016-11	212	316	343	266	114	627	108	197
2016-12	193	373	276	290	89	548	119	175
2017-1	209	405	397	376	85	550	153	206
2017-2	222	481	446	358	82	548	148	204
2017-3	255	526	485	361	121	612	144	217
2017-4	262	459	440	343	112	450	120	190
2017-5	308	460	379	347	125	562	122	224
2017-6	398	436	432	319	129	504	128	267
2017-7	433	395	464	316	138	402	112	271
2017-8	333	492	431	354	133	519	147	256
2017-9	314	428	467	369	143	546	195	261
2017-10	297	486	503	447	177	571	168	286
2017-11	369	530	509	493	166	636	159	297
2017-12	338	382	385	404	117	505	153	298
2018-1	410	513	484	468	175	541	151	378
2018-2	366	562	389	474	166	479	182	341
2018-3	384	537	445	513	181	559	233	439
2018-4	443	562	480	497	147	612	180	387
2018-5	434	506	396	436	137	613	208	336
